1744673915.5768766,0
1744673916.5782611,0
1744673917.5796106,0
1744673918.5810933,6
1744673919.5827098,44
1744673920.584345,45
1744673921.5859714,46
1744673922.5875847,46
1744673923.5892043,48
1744673924.5908074,49
1744673925.592573,49
1744673926.5943608,49
1744673927.596116,49
1744673928.597866,83
1744673929.5996099,83
1744673930.6013303,83
1744673931.6027749,83
1744673932.6044948,83
1744673933.6063073,84
1744673934.608019,84
1744673935.6097293,86
1744673936.6114333,87
1744673937.61313,87
1744673938.614782,89
1744673939.6164947,89
1744673940.618245,89
1744673941.62035,89
1744673942.6223898,89
1744673943.624396,89
1744673944.6264524,89
1744673945.6285155,89
1744673946.6308615,163
1744673947.6330528,163
1744673948.635191,163
1744673949.6373117,163
1744673950.63898,163
1744673951.6408532,163
1744673952.6428387,163
1744673953.6447089,163
1744673954.6465907,173
1744673955.6484525,184
1744673956.6504073,285
1744673957.652174,285
1744673958.654081,285
1744673959.6559868,285
1744673960.6577482,31549
1744673961.6588926,117170
1744673962.660656,203424
1744673963.6624944,289743
1744673964.6642258,376490
1744673965.665923,464831
1744673966.666848,554204
1744673967.6686177,643350
1744673968.6702838,735538
1744673969.6718864,828933
1744673970.673505,922125
1744673971.67511,1014772
1744673972.6767154,1107705
1744673973.67834,1203793
1744673974.6799357,1302110
1744673975.6815298,1400448
1744673976.6831405,1498719
1744673977.6847339,1596972
1744673978.686415,1691941
1744673979.6880248,1787230
1744673980.6896172,1885185
1744673981.6906867,1982841
1744673982.69229,2080628
1744673983.6938934,2178430
1744673984.6946929,2220197
1744673985.6962802,2220235
1744673986.6978717,2220237
1744673987.6986961,2220237
1744673988.7002711,2220245
1744673989.7018712,2220245
1744673990.7026823,2220245
1744673991.7042768,2220277
1744673992.705855,2220277
1744673993.707283,2220285
